fecha,departamento,iso,admlcd,poblacion,p7,p7_cada100k
06/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
06/05/2020,Canelones,UY-CA,URUUYCA,588959,1.43,0.24
06/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
06/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
06/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
06/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
06/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
06/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
06/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.14,0.08
06/05/2020,Montevideo,UY-MO,URUUYMO,1381946,3.29,0.24
06/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
06/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
06/05/2020,Rivera,UY-RV,URUUYRV,108569,0,0
06/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
06/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
06/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
06/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
06/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
06/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,1.14,2.26
07/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
07/05/2020,Canelones,UY-CA,URUUYCA,588959,1.71,0.29
07/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
07/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
07/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
07/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
07/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
07/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
07/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.29,0.15
07/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.43,0.18
07/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
07/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
07/05/2020,Rivera,UY-RV,URUUYRV,108569,0,0
07/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
07/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
07/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
07/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
07/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
07/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,1.14,2.26
08/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
08/05/2020,Canelones,UY-CA,URUUYCA,588959,1.43,0.24
08/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
08/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
08/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
08/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
08/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
08/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
08/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.86,0.45
08/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.86,0.21
08/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
08/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
08/05/2020,Rivera,UY-RV,URUUYRV,108569,0,0
08/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
08/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
08/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
08/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
08/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
08/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,1.14,2.26
09/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
09/05/2020,Canelones,UY-CA,URUUYCA,588959,1.29,0.22
09/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
09/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
09/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
09/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
09/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
09/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
09/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.86,0.45
09/05/2020,Montevideo,UY-MO,URUUYMO,1381946,3.57,0.26
09/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
09/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
09/05/2020,Rivera,UY-RV,URUUYRV,108569,0,0
09/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
09/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
09/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
09/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
09/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
09/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,1.14,2.26
10/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
10/05/2020,Canelones,UY-CA,URUUYCA,588959,1.43,0.24
10/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
10/05/2020,Colonia,UY-CO,URUUYCO,130444,0.29,0.22
10/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
10/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
10/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
10/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
10/05/2020,Maldonado,UY-MA,URUUYMA,190078,1,0.53
10/05/2020,Montevideo,UY-MO,URUUYMO,1381946,3.29,0.24
10/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
10/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
10/05/2020,Rivera,UY-RV,URUUYRV,108569,0,0
10/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
10/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
10/05/2020,San José,UY-SJ,URUUYSJ,116479,0.29,0.25
10/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
10/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
10/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,1,1.98
11/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
11/05/2020,Canelones,UY-CA,URUUYCA,588959,1.43,0.24
11/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
11/05/2020,Colonia,UY-CO,URUUYCO,130444,0.29,0.22
11/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
11/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
11/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
11/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
11/05/2020,Maldonado,UY-MA,URUUYMA,190078,1.57,0.83
11/05/2020,Montevideo,UY-MO,URUUYMO,1381946,3.14,0.23
11/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
11/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
11/05/2020,Rivera,UY-RV,URUUYRV,108569,0,0
11/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
11/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
11/05/2020,San José,UY-SJ,URUUYSJ,116479,0.29,0.25
11/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
11/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
11/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,1,1.98
12/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
12/05/2020,Canelones,UY-CA,URUUYCA,588959,1,0.17
12/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
12/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
12/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
12/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
12/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
12/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
12/05/2020,Maldonado,UY-MA,URUUYMA,190078,1.29,0.68
12/05/2020,Montevideo,UY-MO,URUUYMO,1381946,3.71,0.27
12/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
12/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
12/05/2020,Rivera,UY-RV,URUUYRV,108569,0.14,0.13
12/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
12/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
12/05/2020,San José,UY-SJ,URUUYSJ,116479,0.29,0.25
12/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
12/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
12/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
13/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
13/05/2020,Canelones,UY-CA,URUUYCA,588959,0.86,0.15
13/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
13/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
13/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
13/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
13/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
13/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
13/05/2020,Maldonado,UY-MA,URUUYMA,190078,1.57,0.83
13/05/2020,Montevideo,UY-MO,URUUYMO,1381946,3.43,0.25
13/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
